city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,San Bartolome,ES,27.9248,-15.5733,55.99,71,40,4.61,scattered clouds
178,Sarkand,KZ,45.41,79.9186,38.32,75,90,1.21,overcast clouds
179,Grand Gaube,MU,-20.0064,57.6608,80.01,82,19,5.01,light rain
180,Kavaratti,IN,10.5669,72.642,80.87,76,16,12.88,few clouds
181,Oriximina,BR,-1.7656,-55.8661,78.42,75,75,3.6,broken clouds
182,Gemena,CD,3.25,19.7667,73.44,78,20,3.76,few clouds
183,Santa Fe,AR,-31.6333,-60.7,69.01,83,0,4.52,clear sky
184,Klaksvik,FO,62.2266,-6.589,35.6,60,40,13.8,scattered clouds
185,Maragogi,BR,-9.0122,-35.2225,76.21,88,18,6.89,few clouds
186,Chodavaram,IN,17.8333,82.95,84.2,37,0,4.61,haze
187,Alhama De Murcia,ES,37.851,-1.4251,52.0,87,0,2.33,clear sky
188,Maldonado,UY,-34.6667,-54.9167,59.0,100,0,4.61,clear sky
189,Olafsvik,IS,64.8945,-23.7142,37.2,78,100,19.3,overcast clouds
190,Santa Cruz De Tenerife,ES,28.4682,-16.2546,55.99,87,75,24.16,broken clouds
191,Cuenca,EC,-2.8833,-78.9833,57.2,88,100,2.3,overcast clouds
192,Sidi Bin Nur,TN,35.5333,10.9167,53.6,66,0,10.22,clear sky
193,Arlit,NE,18.7369,7.3853,59.29,32,11,6.31,few clouds
194,Goryachiy Klyuch,RU,44.6308,39.13,33.8,86,75,11.18,light rain and snow
195,Tibagi,BR,-24.5094,-50.4136,57.04,75,0,4.47,clear sky
196,Maracaibo,VE,10.6317,-71.6406,78.76,70,100,7.96,overcast clouds
197,Touros,BR,-5.1989,-35.4608,73.4,88,0,2.3,clear sky
198,Mandera,KE,3.9366,41.867,78.66,58,0,7.99,clear sky
199,Farafangana,MG,-22.8167,47.8333,83.1,72,99,9.48,overcast clouds
200,Maceio,BR,-9.6658,-35.7353,75.2,88,0,6.91,clear sky
201,Epe,NG,6.5841,3.9834,78.42,90,47,1.99,scattered clouds
202,Umm Lajj,SA,25.0213,37.2685,68.32,50,0,8.97,clear sky
203,Saint-Augustin,CA,51.226,-58.6502,29.66,98,93,10.6,overcast clouds
204,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,72.16,99,100,2.1,overcast clouds
205,Mwinilunga,ZM,-11.7358,24.4293,66.15,94,100,2.13,overcast clouds
206,Tutoia,BR,-2.7619,-42.2744,79.14,80,14,13.13,few clouds
207,Marsala,IT,37.7966,12.4352,63.0,63,0,18.41,clear sky
208,Oranjemund,NA,-28.55,16.4333,63.12,83,3,10.98,clear sky
209,Iracoubo,GF,5.4802,-53.2011,77.11,87,92,11.12,overcast clouds
210,Sechura,PE,-5.5569,-80.8222,75.69,63,98,10.27,overcast clouds
211,Manaus,BR,-3.1019,-60.025,80.6,89,20,3.44,few clouds
212,Keffi,NG,8.8486,7.8736,69.49,26,0,2.44,clear sky
213,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,46.0,91,100,1.01,overcast clouds
214,Balkhash,KZ,46.844,74.9804,19.4,93,0,4.47,clear sky
215,Banepa,NP,27.6298,85.5214,57.2,54,40,4.61,haze
216,Faya,SA,18.3851,42.4509,51.8,82,40,6.91,scattered clouds
217,Tarauaca,BR,-8.1614,-70.7656,72.52,97,100,1.28,moderate rain
218,Manaure,CO,11.7751,-72.4445,76.51,79,96,15.28,overcast clouds
219,Rameswaram,IN,9.2833,79.3,77.65,78,43,15.43,scattered clouds
220,Kasama,ZM,-10.2129,31.1808,66.18,93,100,1.63,overcast clouds
221,Kakonko,TZ,-3.2828,30.9642,68.95,82,99,1.92,overcast clouds
222,Syamzha,RU,60.0158,41.0614,-7.64,90,100,9.19,overcast clouds
223,Weilheim,DE,47.8333,11.15,39.99,93,100,2.3,overcast clouds
224,Kalmunai,LK,7.4167,81.8167,80.6,82,82,12.86,broken clouds
225,Pasni,PK,25.2631,63.471,69.64,28,0,2.37,clear sky
226,Fort-Shevchenko,KZ,44.5086,50.263,34.77,83,39,24.92,scattered clouds
227,Zabol,AF,32.25,67.25,44.71,49,0,3.94,clear sky
228,Nigde,TR,37.8333,34.75,38.28,67,0,1.25,clear sky
229,Cap Malheureux,MU,-19.9842,57.6142,80.01,82,38,5.01,light rain
230,Straumen,NO,63.8709,11.2999,19.99,78,0,9.22,clear sky
231,Cascavel,BR,-24.9558,-53.4553,53.87,94,0,6.98,clear sky
232,Mauganj,IN,24.6833,81.8833,72.97,38,18,7.43,few clouds
233,Sabha,LY,27.0377,14.4283,52.84,44,4,11.23,clear sky
234,Rosetta,EG,31.4044,30.4164,62.6,67,40,5.75,scattered clouds
235,Harper,LR,4.375,-7.7169,78.62,91,55,6.11,broken clouds
236,Porto Novo,BJ,6.4965,2.6036,82.4,89,40,3.44,scattered clouds
237,Salalah,OM,17.0151,54.0924,77.0,53,40,5.77,scattered clouds
238,Namibe,AO,-15.1961,12.1522,69.91,81,67,5.39,broken clouds
239,Fez,MA,34.0372,-4.9998,44.6,93,75,3.44,broken clouds
240,Balkanabat,TM,39.5108,54.3671,52.36,63,100,7.31,overcast clouds
241,Padang,ID,-0.9492,100.3543,89.6,58,20,5.75,few clouds
242,Bambous Virieux,MU,-20.3428,57.7575,80.01,94,75,6.91,light rain
243,Koboko,UG,3.4136,30.9599,71.8,22,67,11.77,broken clouds
244,Senftenberg,DE,51.5167,14.0167,30.0,85,100,4.0,overcast clouds
245,Sokolo,ML,14.7328,-6.1219,68.72,23,68,3.15,broken clouds
246,Odweyne,SO,9.4092,45.064,68.02,42,0,3.98,clear sky
247,Sumbe,AO,-11.2061,13.8437,76.64,79,100,2.39,overcast clouds
248,Narsaq,GL,60.9167,-46.05,15.8,53,0,4.61,clear sky
249,Marsh Harbour,BS,26.5412,-77.0636,72.68,81,9,10.96,clear sky
250,Moose Factory,CA,51.2585,-80.6094,24.8,86,90,19.57,snow
251,El Alto,PE,-4.2714,-81.2147,73.36,76,42,13.51,scattered clouds
252,Nadvoitsy,RU,63.8667,34.3167,-2.02,92,96,8.93,overcast clouds
253,Carbonia,IT,39.1672,8.5222,46.4,87,40,2.3,mist
254,Dingle,PH,10.9995,122.6711,84.97,69,61,13.94,broken clouds
255,Bila Tserkva,UA,49.8094,30.1121,17.38,94,94,3.29,overcast clouds
256,Pangody,RU,65.85,74.4859,-13.95,89,100,13.96,light snow
257,Valencia,ES,39.3333,-0.8333,50.0,93,42,3.44,scattered clouds
258,Krasnovishersk,RU,60.4078,57.082,33.93,98,100,5.99,light snow
259,Gornopravdinsk,RU,60.05,69.9,34.32,95,100,10.16,overcast clouds
260,Rawah,IQ,34.4816,41.9093,55.36,80,88,13.44,overcast clouds
261,Rincon,US,32.296,-81.2354,50.0,81,90,9.22,overcast clouds
262,Ostrovnoy,RU,68.0531,39.5131,16.03,95,100,9.15,overcast clouds
263,Velikiy Ustyug,RU,60.7644,46.3106,-5.8,90,100,10.56,light snow
264,Tessalit,ML,20.1986,1.0114,69.82,20,100,15.5,overcast clouds
265,Dubti,ET,11.7361,41.0853,73.09,62,92,2.91,overcast clouds
266,Vila Velha,BR,-20.3297,-40.2925,79.0,78,75,6.91,moderate rain
267,Vardo,NO,70.3705,31.1107,27.79,92,99,25.59,light snow
268,Lonavale,IN,18.75,73.4167,82.4,30,37,6.91,smoke
269,Araouane,ML,18.9048,-3.5265,73.85,18,100,9.64,overcast clouds
270,Uyemskiy,RU,64.4743,40.8524,8.6,78,75,8.95,light snow
271,Penzance,GB,50.1186,-5.5371,39.99,93,38,6.91,light rain
272,Matara,LK,5.9485,80.5353,88.52,54,37,0.92,scattered clouds
273,Nurota,UZ,40.5614,65.6886,59.0,21,100,27.63,overcast clouds
274,Kathmandu,NP,27.7167,85.3167,57.2,54,40,4.61,haze
275,Ponta Delgada,PT,37.7333,-25.6667,57.2,88,40,10.36,scattered clouds
276,Kalemie,CD,-5.9475,29.1947,72.45,82,100,4.88,overcast clouds
277,Gidole,ET,5.65,37.3667,69.73,34,35,1.99,scattered clouds
278,Shediac,CA,46.2198,-64.5411,34.0,100,75,11.5,moderate rain
279,Moroni,KM,-11.7022,43.2551,83.41,68,89,3.67,overcast clouds
280,Mocuba,MZ,-16.8392,36.9856,81.64,82,89,2.44,overcast clouds
281,Jadu,LY,31.953,12.0261,54.81,39,73,15.7,broken clouds
282,Kalach-Na-Donu,RU,48.691,43.5264,19.4,68,40,20.13,light snow
283,Sakakah,SA,29.9697,40.2064,50.0,93,40,11.5,scattered clouds
284,Ilulissat,GL,69.2167,-51.1,10.4,37,20,4.61,few clouds
285,Sinnamary,GF,5.3833,-52.95,77.16,87,87,10.71,overcast clouds
286,Jacareacanga,BR,-6.2222,-57.7528,73.78,97,100,1.9,overcast clouds
287,Clarence Town,AU,-32.5833,151.7833,73.99,94,90,10.36,moderate rain
288,Rania,IN,29.5333,74.8333,68.5,35,0,4.34,clear sky
289,Yanam,IN,16.7333,82.2167,82.4,51,0,3.44,haze
290,Stromness,GB,58.965,-3.296,35.6,69,90,26.46,overcast clouds
291,Oktyabrskoye,RU,43.0645,44.7417,33.8,86,75,6.71,broken clouds
292,Nuuk,GL,64.1835,-51.7216,19.4,68,76,16.11,broken clouds
293,Riyadh,SA,24.6877,46.7219,60.8,77,75,6.91,broken clouds
294,Kedougou,SN,12.5579,-12.1743,69.04,25,75,1.43,broken clouds
295,Alice Town,BS,25.7167,-79.3,72.52,82,27,11.43,scattered clouds
296,Belyy Yar,RU,53.6039,91.3903,15.8,67,40,2.24,smoke
297,Knysna,ZA,-34.0363,23.0471,64.4,94,90,3.44,fog
298,Bud,US,39.447,-86.1758,23.0,77,78,8.48,broken clouds
299,Rio Grande,BR,-32.035,-52.0986,62.01,91,60,10.02,broken clouds
300,Yarensk,RU,62.1675,49.0916,-6.29,89,100,12.46,light snow
301,Hofn,IS,64.2539,-15.2082,36.45,81,100,17.11,overcast clouds
302,Kauhajoki,FI,62.4333,22.1833,16.0,92,0,5.75,clear sky
303,Talnakh,RU,69.4865,88.3972,-26.82,82,58,5.01,broken clouds
304,Tyazhinskiy,RU,56.116,88.524,21.83,96,76,5.1,broken clouds
305,Cutlerville,US,42.8409,-85.6636,15.01,89,100,1.99,light snow
306,Luba,GQ,3.4568,8.5547,78.8,83,20,4.61,light rain
307,Dharmapuri,IN,12.1333,78.1667,82.4,54,20,5.75,haze
308,Lagos,NG,6.5833,3.75,78.51,90,44,0.78,scattered clouds
309,Mpanda,TZ,-6.3655,31.0409,68.63,89,100,0.92,overcast clouds
310,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.19,93,99,0.72,overcast clouds
311,Itacare,BR,-14.2775,-38.9967,82.4,89,75,6.91,broken clouds
312,Havoysund,NO,70.9963,24.6622,26.6,80,75,16.11,light snow
313,Callaway,US,30.153,-85.5699,52.0,58,75,9.22,broken clouds
